chr,chromStart,chromEnd,peak_length,strand,ModLog2FC_treated,ModLog2FC_control,DiffModLog2FC,pvalue,padj,Annotation,transcriptID,geneID,gene_chr,gene_start,gene_end,geneName,Description,GO,KEGG
NC_051382.1,10877891,10879604,1714,+,2.66,2.28,0.38,0.02,0.13,UTR3,XM_004921729.4,101737844,NC_051382.1,10876725,10879677,LOC101737844,uncharacterized protein LOC114246451 [Bombyx mandarina],NA,NA
NC_051382.1,10881152,10881526,375,+,1.51,1.98,-0.47,0.03,0.16,UTR3,XM_038020330.1,119628358,NC_051382.1,10880503,10881526,LOC119628358,uncharacterized protein LOC101737844 isoform X2 [Bombyx mori],GO:0004252(serine-type endopeptidase activity);GO:0006508(proteolysis);GO:0008233(peptidase activity);GO:0008236(serine-type peptidase activity);GO:0016787(hydrolase activity),NA
NC_051382.1,11812323,11813598,1276,+,1.65,2.08,-0.44,0.00,0.00,UTR3,XM_004927159.4,101741721,NC_051382.1,11807387,11815045,LOC101741721,zinc transporter 7 [Bombyx mori],GO:0005385(zinc ion transmembrane transporter activity);GO:0005794(Golgi apparatus);GO:0010043(response to zinc ion);GO:0016020(membrane);GO:0061088(regulation of sequestering of zinc ion),NA
NC_051382.1,11814798,11815045,248,+,0.74,2.15,-1.40,0.00,0.00,UTR3,XM_004927159.4,101741721,NC_051382.1,11807387,11815045,LOC101741721,zinc transporter 7 [Bombyx mori],GO:0005385(zinc ion transmembrane transporter activity);GO:0005794(Golgi apparatus);GO:0010043(response to zinc ion);GO:0016020(membrane);GO:0061088(regulation of sequestering of zinc ion),NA
NC_051382.1,11842114,11858828,16715,+,2.23,1.17,1.06,0.02,0.11,UTR5,XM_038020323.1,101742160,NC_051382.1,11821901,11866160,LOC101742160,steroid hormone receptor ERR1 isoform X2 [Bombyx mandarina],GO:0003700(DNA binding transcription factor activity);GO:0003707(steroid hormone receptor activity);GO:0004879(nuclear receptor activity);GO:0005496(steroid binding);GO:0005634(nucleus);GO:0005975(carbohydrate metabolic process);GO:0006357(regulation of transcription by RNA polymerase II);GO:0007283(spermatogenesis);GO:0008270(zinc ion binding);GO:0010906(regulation of glucose metabolic process);GO:0043401(steroid hormone mediated signaling pathway);GO:0043565(sequence-specific DNA binding),NA
NC_051382.1,12851833,12852097,265,+,2.21,1.13,1.08,0.00,0.03,UTR3,XM_004924036.4,101741287,NC_051382.1,12828265,12852097,LOC101741287,DNA damage-binding protein 1 [Bombyx mori],GO:0003684(damaged DNA binding);GO:0005634(nucleus);GO:0006289(nucleotide-excision repair);GO:0031461(cullin-RING ubiquitin ligase complex);GO:0043161(proteasome-mediated ubiquitin-dependent protein catabolic process),03420(Nucleotide excision repair);04120(Ubiquitin mediated proteolysis)
NC_051382.1,12897796,12898696,901,+,3.22,4.01,-0.79,0.00,0.00,UTR5,XM_004924030.4,101740492,NC_051382.1,12897797,12918626,LOC101740492,protein phosphatase 1B [Bombyx mori],"GO:0000278(mitotic cell cycle);GO:0000287(magnesium ion binding);GO:0001745(compound eye morphogenesis);GO:0004722(protein serine/threonine phosphatase activity);GO:0005575(cellular_component);GO:0006470(protein dephosphorylation);GO:0006979(response to oxidative stress);GO:0007391(dorsal closure);GO:0007476(imaginal disc-derived wing morphogenesis);GO:0008340(determination of adult lifespan);GO:0010225(response to UV-C);GO:0016311(dephosphorylation);GO:0016791(phosphatase activity);GO:0030145(manganese ion binding);GO:0032873(negative regulation of stress-activated MAPK cascade);GO:0043407(negative regulation of MAP kinase activity);GO:0045678(positive regulation of R7 cell differentiation);GO:0046329(negative regulation of JNK cascade);GO:0046529(imaginal disc fusion, thorax closure);GO:0046580(negative regulation of Ras protein signal transduction);GO:0070303(negative regulation of stress-activated protein kinase signaling cascade);GO:0070373(negative regulation of ERK1 and ERK2 cascade);GO:1900744(regulation of p38MAPK cascade);GO:1901562(response to paraquat)",04013(MAPK signaling pathway - fly)
NC_051382.1,14517225,14517475,251,+,2.14,3.00,-0.86,0.01,0.05,UTR3,XM_004924019.2,101738875,NC_051382.1,14513507,14517481,LOC101738875,mitochondrial intermembrane space import and assembly protein 40 [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051382.1,377251,378605,1355,-,1.65,2.76,-1.11,0.00,0.01,exonic,XM_038020427.1,101737440,NC_051382.1,372560,382399,LOC101737440,esterase FE4-like [Bombyx mori],GO:0005615(extracellular space);GO:0052689(carboxylic ester hydrolase activity),NA
NC_051382.1,415763,415888,126,-,2.65,-2.74,5.39,0.02,0.11,exonic,NM_001195463.1,100500760,NC_051382.1,414621,420265,cce-6,juvenile hormone esterase-like [Bombyx mandarina],GO:0005575(cellular_component);GO:0008150(biological_process);GO:0008152(metabolic process);GO:0052689(carboxylic ester hydrolase activity),NA
NC_051382.1,630909,632759,1851,-,1.77,2.05,-0.28,0.02,0.11,UTR3,XM_004925695.4,101738251,NC_051382.1,630235,633473,LOC101738251,putative tyrosine-protein kinase Wsck [Bombyx mori],GO:0004715(non-membrane spanning protein tyrosine kinase activity);GO:0005102(receptor binding);GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway);GO:0016477(cell migration);GO:0030154(cell differentiation);GO:0031234(extrinsic component of cytoplasmic side of plasma membrane);GO:0038083(peptidyl-tyrosine autophosphorylation);GO:0042127(regulation of cell proliferation);GO:0045087(innate immune response),NA
NC_051382.1,666669,668669,2001,-,2.54,3.30,-0.76,0.00,0.00,UTR3,XM_004925656.4,101744983,NC_051382.1,663720,669120,LOC101744983,hippocampus abundant transcript 1 protein [Bombyx mori],GO:0005215(transporter activity);GO:0016021(integral component of membrane);GO:0055085(transmembrane transport),NA
NC_051382.1,688131,690963,2833,-,2.03,2.41,-0.38,0.00,0.03,UTR3,XM_038020374.1,101745283,NC_051382.1,688132,693984,LOC101745283,uncharacterized protein LOC101745283 [Bombyx mori],NA,NA
NC_051382.1,725572,750011,24440,-,1.11,1.66,-0.55,0.02,0.10,UTR5,XM_004925661.4,101745564,NC_051382.1,711467,750011,LOC101745564,atlastin isoform X4 [Bombyx mori],GO:0003924(GTPase activity);GO:0005515(protein binding);GO:0005525(GTP binding);GO:0005737(cytoplasm);GO:0005783(endoplasmic reticulum);GO:0005794(Golgi apparatus);GO:0005874(microtubule);GO:0007019(microtubule depolymerization);GO:0007029(endoplasmic reticulum organization);GO:0007030(Golgi organization);GO:0007517(muscle organ development);GO:0007528(neuromuscular junction development);GO:0008582(regulation of synaptic growth at neuromuscular junction);GO:0012505(endomembrane system);GO:0016020(membrane);GO:0016320(endoplasmic reticulum membrane fusion);GO:0031114(regulation of microtubule depolymerization);GO:0031227(intrinsic component of endoplasmic reticulum membrane);GO:0032561(guanyl ribonucleotide binding);GO:0042802(identical protein binding);GO:0042803(protein homodimerization activity);GO:0048691(positive regulation of axon extension involved in regeneration);GO:0051124(synaptic growth at neuromuscular junction);GO:0051260(protein homooligomerization);GO:0061025(membrane fusion),NA
NC_051382.1,877185,877285,101,-,-0.08,1.46,-1.54,0.03,0.14,UTR3,XM_004925665.4,101746335,NC_051382.1,877186,889920,LOC101746335,"ribosome-releasing factor 2, mitochondrial [Bombyx mori]",GO:0003924(GTPase activity);GO:0032543(mitochondrial translation);GO:0032790(ribosome disassembly),NA
NC_051382.1,1110778,1112060,1283,-,1.55,1.84,-0.29,0.00,0.00,UTR3,XM_004925669.2,101746841,NC_051382.1,1110779,1112492,LOC101746841,uncharacterized protein LOC101746841 [Bombyx mori],GO:0016063(rhodopsin biosynthetic process);GO:0045494(photoreceptor cell maintenance),NA
NC_051382.1,1164191,1164341,151,-,1.31,0.92,0.39,0.00,0.03,exonic,XM_004925673.4,101735505,NC_051382.1,1163967,1166685,LOC101735505,EEF1A lysine methyltransferase 1 isoform X1 [Bombyx mori],GO:0003676(nucleic acid binding);GO:0005737(cytoplasm);GO:0008168(methyltransferase activity);GO:0016279(protein-lysine N-methyltransferase activity);GO:0016740(transferase activity);GO:0018022(peptidyl-lysine methylation);GO:0032259(methylation),NA
NC_051382.1,1164901,1166302,1402,-,1.26,0.77,0.49,0.00,0.01,exonic,XM_004925673.4,101735505,NC_051382.1,1163967,1166685,LOC101735505,EEF1A lysine methyltransferase 1 isoform X1 [Bombyx mori],GO:0003676(nucleic acid binding);GO:0005737(cytoplasm);GO:0008168(methyltransferase activity);GO:0016279(protein-lysine N-methyltransferase activity);GO:0016740(transferase activity);GO:0018022(peptidyl-lysine methylation);GO:0032259(methylation),NA
NC_051382.1,1167591,1176602,9012,-,3.49,3.87,-0.38,0.00,0.01,UTR3,XM_004925671.4,101747169,NC_051382.1,1167592,1202176,LOC101747169,protein RRP5 homolog [Bombyx mori],GO:0003723(RNA binding);GO:0005730(nucleolus);GO:0032040(small-subunit processome),NA
NC_051382.1,1209426,1210401,976,-,1.87,0.68,1.19,0.00,0.04,UTR3,XM_012690019.3,101736091,NC_051382.1,1209427,1211906,LOC101736091,uncharacterized protein LOC101736091 [Bombyx mori],NA,NA
NC_051382.1,1211326,1211901,576,-,2.31,1.33,0.98,0.01,0.09,UTR5,XM_012690019.3,101736091,NC_051382.1,1209427,1211906,LOC101736091,uncharacterized protein LOC101736091 [Bombyx mori],NA,NA
NC_051382.1,1235530,1240996,5467,-,3.79,4.37,-0.58,0.00,0.00,UTR3,XM_004925682.4,101736439,NC_051382.1,1234931,1251121,LOC101736439,nuclear export mediator factor NEMF homolog [Bombyx mori],GO:0000049(tRNA binding);GO:0005840(ribosome);GO:0006611(protein export from nucleus);GO:0043023(ribosomal large subunit binding);GO:0072344(rescue of stalled ribosome);GO:1902167(positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator);GO:1902231(positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage);GO:1990112(RQC complex);GO:1990116(ribosome-associated ubiquitin-dependent protein catabolic process),NA
NC_051382.1,1242482,1249438,6957,-,2.09,2.50,-0.41,0.01,0.07,exonic,XM_004925682.4,101736439,NC_051382.1,1234931,1251121,LOC101736439,nuclear export mediator factor NEMF homolog [Bombyx mori],GO:0000049(tRNA binding);GO:0005840(ribosome);GO:0006611(protein export from nucleus);GO:0043023(ribosomal large subunit binding);GO:0072344(rescue of stalled ribosome);GO:1902167(positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator);GO:1902231(positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage);GO:1990112(RQC complex);GO:1990116(ribosome-associated ubiquitin-dependent protein catabolic process),NA
NC_051382.1,1567784,1674835,107052,-,3.02,3.92,-0.90,0.00,0.00,exonic,NM_001309564.1,101737806,NC_051382.1,1305833,1674835,LOC101737806,homeobox protein homothorax-like [Bombyx mori],"GO:0001223(transcription coactivator binding);GO:0001654(eye development);GO:0001752(compound eye photoreceptor fate commitment);GO:0003677(DNA binding);GO:0003700(DNA binding transcription factor activity);GO:0005515(protein binding);GO:0005634(nucleus);GO:0005667(transcription factor complex);GO:0005737(cytoplasm);GO:0005829(cytosol);GO:0006357(regulation of transcription by RNA polymerase II);GO:0007380(specification of segmental identity, head);GO:0007383(specification of segmental identity, antennal segment);GO:0007420(brain development);GO:0007422(peripheral nervous system development);GO:0007432(salivary gland boundary specification);GO:0007476(imaginal disc-derived wing morphogenesis);GO:0007479(leg disc proximal/distal pattern formation);GO:0007480(imaginal disc-derived leg morphogenesis);GO:0007525(somatic muscle development);GO:0008134(transcription factor binding);GO:0009954(proximal/distal pattern formation);GO:0010092(specification of animal organ identity);GO:0034504(protein localization to nucleus);GO:0035282(segmentation);GO:0035326(enhancer binding);GO:0042659(regulation of cell fate specification);GO:0045664(regulation of neuron differentiation);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:0048735(haltere morphogenesis);GO:0048749(compound eye development);GO:0060323(head morphogenesis);GO:0072002(Malpighian tubule development);GO:0090098(positive regulation of decapentaplegic signaling pathway);GO:2000497(positive regulation of cell proliferation involved in compound eye morphogenesis)",04391(Hippo signaling pathway - fly)
NC_051382.1,1881025,1881864,840,-,1.94,2.33,-0.39,0.00,0.00,exonic,NM_001047041.1,733059,NC_051382.1,1875154,1881864,Bmp-2,RNA-binding protein 4.1 isoform X2 [Bombyx mori],GO:0003676(nucleic acid binding);GO:0003729(mRNA binding),03040(Spliceosome)
NC_051382.1,1939061,1945018,5958,-,3.46,3.93,-0.47,0.03,0.14,exonic,XM_012697671.3,101741795,NC_051382.1,1935622,1950050,LOC101741795,"alanine--tRNA ligase, mitochondrial isoform X1 [Bombyx mori]",GO:0000049(tRNA binding);GO:0004813(alanine-tRNA ligase activity);GO:0006400(tRNA modification);GO:0006419(alanyl-tRNA aminoacylation);GO:0016597(amino acid binding),00970(Aminoacyl-tRNA biosynthesis)
NC_051382.1,2020177,2086252,66076,-,3.24,3.71,-0.47,0.00,0.00,UTR5,XM_012697667.3,105842988,NC_051382.1,2009914,2086252,LOC105842988,cell growth regulator with RING finger domain protein 1 [Bombyx mori],NA,NA
NC_051382.1,2294584,2294884,301,-,-0.02,9.43,-9.44,0.00,0.00,ncRNA_exonic,XR_005246297.1,119630547,NC_051382.1,2294585,2296576,LOC119630547,NA,NA,NA
NC_051382.1,3489447,3513163,23717,-,2.46,3.22,-0.76,0.00,0.00,UTR5,XM_038020418.1,101740215,NC_051382.1,3480219,3513163,LOC101740215,adenylosuccinate synthetase [Bombyx mori],GO:0004019(adenylosuccinate synthase activity);GO:0005737(cytoplasm);GO:0044208('de novo' AMP biosynthetic process);GO:0046040(IMP metabolic process),"00230(Purine metabolism);00250(Alanine, aspartate and glutamate metabolism);01100(Metabolic pathways);01240(Biosynthesis of cofactors)"
NC_051382.1,3863808,3864008,201,-,1.38,0.57,0.81,0.04,0.18,UTR3,XM_004923301.4,101742770,NC_051382.1,3862434,3870826,LOC101742770,protein hairless [Bombyx mori],GO:0003714(transcription corepressor activity);GO:0005515(protein binding);GO:0005634(nucleus);GO:0007219(Notch signaling pathway);GO:0008052(sensory organ boundary specification);GO:0008586(imaginal disc-derived wing vein morphogenesis);GO:0008587(imaginal disc-derived wing margin morphogenesis);GO:0010941(regulation of cell death);GO:0016360(sensory organ precursor cell fate determination);GO:0035019(somatic stem cell population maintenance);GO:0036335(intestinal stem cell homeostasis);GO:0044719(regulation of imaginal disc-derived wing size);GO:0045746(negative regulation of Notch signaling pathway);GO:0046331(lateral inhibition);GO:0048190(wing disc dorsal/ventral pattern formation),04330(Notch signaling pathway)
NC_051382.1,3865358,3866086,729,-,-0.48,1.52,-2.01,0.01,0.07,UTR3,XM_004923301.4,101742770,NC_051382.1,3862434,3870826,LOC101742770,protein hairless [Bombyx mori],GO:0003714(transcription corepressor activity);GO:0005515(protein binding);GO:0005634(nucleus);GO:0007219(Notch signaling pathway);GO:0008052(sensory organ boundary specification);GO:0008586(imaginal disc-derived wing vein morphogenesis);GO:0008587(imaginal disc-derived wing margin morphogenesis);GO:0010941(regulation of cell death);GO:0016360(sensory organ precursor cell fate determination);GO:0035019(somatic stem cell population maintenance);GO:0036335(intestinal stem cell homeostasis);GO:0044719(regulation of imaginal disc-derived wing size);GO:0045746(negative regulation of Notch signaling pathway);GO:0046331(lateral inhibition);GO:0048190(wing disc dorsal/ventral pattern formation),04330(Notch signaling pathway)
NC_051382.1,3866836,3870647,3812,-,2.05,2.73,-0.68,0.01,0.06,UTR5,XM_004923301.4,101742770,NC_051382.1,3862434,3870826,LOC101742770,protein hairless [Bombyx mori],GO:0003714(transcription corepressor activity);GO:0005515(protein binding);GO:0005634(nucleus);GO:0007219(Notch signaling pathway);GO:0008052(sensory organ boundary specification);GO:0008586(imaginal disc-derived wing vein morphogenesis);GO:0008587(imaginal disc-derived wing margin morphogenesis);GO:0010941(regulation of cell death);GO:0016360(sensory organ precursor cell fate determination);GO:0035019(somatic stem cell population maintenance);GO:0036335(intestinal stem cell homeostasis);GO:0044719(regulation of imaginal disc-derived wing size);GO:0045746(negative regulation of Notch signaling pathway);GO:0046331(lateral inhibition);GO:0048190(wing disc dorsal/ventral pattern formation),04330(Notch signaling pathway)
NC_051382.1,3918462,3918662,201,-,1.56,0.71,0.85,0.04,0.17,UTR3,XM_004923298.2,101742381,NC_051382.1,3918463,3931851,LOC101742381,DDB1- and CUL4-associated factor 10 isoform X1 [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051382.1,3932849,3934824,1976,-,2.67,2.91,-0.24,0.02,0.12,UTR3,XM_004923297.4,101742144,NC_051382.1,3932850,3935159,LOC101742144,nucleoporin GLE1 isoform X1 [Bombyx mori],GO:0000822(inositol hexakisphosphate binding);GO:0005543(phospholipid binding);GO:0005737(cytoplasm);GO:0006406(mRNA export from nucleus);GO:0006446(regulation of translational initiation);GO:0006449(regulation of translational termination);GO:0031369(translation initiation factor binding);GO:0044614(nuclear pore cytoplasmic filaments),03013(RNA transport);03015(mRNA surveillance pathway)
NC_051382.1,3979202,3980641,1440,-,1.76,1.68,0.09,0.04,0.17,UTR3,XM_004923292.4,101741617,NC_051382.1,3979203,3980671,LOC101741617,protein SEC13 homolog [Bombyx mori],GO:0000785(chromatin);GO:0003682(chromatin binding);GO:0005198(structural molecule activity);GO:0005654(nucleoplasm);GO:0005703(polytene chromosome puff);GO:0006607(NLS-bearing protein import into nucleus);GO:0008363(larval chitin-based cuticle development);GO:0010629(negative regulation of gene expression);GO:0030127(COPII vesicle coat);GO:0031080(nuclear pore outer ring);GO:0034605(cellular response to heat);GO:0035077(ecdysone-mediated polytene chromosome puffing);GO:0035293(chitin-based larval cuticle pattern formation);GO:0035859(Seh1-associated complex);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:0060261(positive regulation of transcription initiation from RNA polymerase II promoter);GO:0061700(GATOR2 complex);GO:0090114(COPII-coated vesicle budding),03013(RNA transport);04141(Protein processing in endoplasmic reticulum);04150(mTOR signaling pathway)
NC_051382.1,3991516,3991641,126,-,0.97,1.57,-0.60,0.02,0.13,UTR5,NM_001044111.1,732877,NC_051382.1,3982737,3991667,LOC732877,small GTP binding protein RAB8 isoform X1 [Bombyx mori],GO:0005768(endosome);GO:0005886(plasma membrane);GO:0006904(vesicle docking involved in exocytosis);GO:0008021(synaptic vesicle);GO:0009306(protein secretion);GO:0030140(trans-Golgi network transport vesicle);GO:0032869(cellular response to insulin stimulus);GO:0048210(Golgi vesicle fusion to target membrane);GO:0072659(protein localization to plasma membrane),04140(Autophagy - animal);04144(Endocytosis)
NC_051382.1,4174787,4567963,393177,-,2.82,4.43,-1.62,0.02,0.10,UTR5,XM_021353562.2,101741141,NC_051382.1,4140534,4567963,LOC101741141,uncharacterized protein LOC114243933 isoform X2 [Bombyx mandarina],GO:0003674(molecular_function);GO:0004930(G-protein coupled receptor activity);GO:0005575(cellular_component);GO:0008150(biological_process);GO:0016020(membrane),NA
NC_051382.1,4612221,4612321,101,-,0.60,1.69,-1.09,0.01,0.08,UTR3,XM_012697682.3,101740994,NC_051382.1,4611847,4617128,LOC101740994,"39S ribosomal protein L40, mitochondrial [Bombyx mori]",GO:0003735(structural constituent of ribosome);GO:0005761(mitochondrial ribosome);GO:0005762(mitochondrial large ribosomal subunit);GO:0006412(translation);GO:0032543(mitochondrial translation),NA
NC_051382.1,4670865,4673015,2151,-,2.13,1.79,0.34,0.05,0.19,UTR3,XM_021353559.2,110386924,NC_051382.1,4670866,4673108,LOC110386924,trypsin inhibitor-like isoform X1 [Bombyx mori],GO:0004867(serine-type endopeptidase inhibitor activity);GO:0005576(extracellular region);GO:0008200(ion channel inhibitor activity);GO:0042151(nematocyst);GO:0044465(modulation of sensory perception of pain in other organism),NA
NC_051382.1,4717238,4718407,1170,-,0.86,2.12,-1.25,0.00,0.00,ncRNA_exonic,XR_001140203.3,105842662,NC_051382.1,4717239,4718408,LOC105842662,trypsin inhibitor-like [Bombyx mori],GO:0004867(serine-type endopeptidase inhibitor activity);GO:0019870(potassium channel inhibitor activity),NA
NC_051382.1,4722846,4725364,2519,-,1.21,2.18,-0.97,0.00,0.00,UTR3,NM_001043579.1,692597,NC_051382.1,4722847,4725423,Spi1,trypsin inhibitor [Bombyx mandarina],GO:0004867(serine-type endopeptidase inhibitor activity);GO:0005576(extracellular region);GO:0008200(ion channel inhibitor activity);GO:0042151(nematocyst);GO:0044465(modulation of sensory perception of pain in other organism),NA
NC_051382.1,4755102,4759738,4637,-,2.76,2.99,-0.23,0.00,0.00,UTR3,NM_001046876.1,732873,NC_051382.1,4755103,4760640,mRpS5,mitochondrial ribosomal protein S5 [Bombyx mori],GO:0003735(structural constituent of ribosome);GO:0005763(mitochondrial small ribosomal subunit);GO:0006412(translation);GO:0022627(cytosolic small ribosomal subunit),03010(Ribosome)
NC_051382.1,4791347,4791572,226,-,-0.48,3.38,-3.87,0.00,0.02,UTR3,XM_004923278.4,101739575,NC_051382.1,4791348,4797266,LOC101739575,RAB6A-GEF complex partner protein 2 [Bombyx mori],"GO:0000139(Golgi membrane);GO:0005829(cytosol);GO:0017112(Rab guanyl-nucleotide exchange factor activity);GO:0017137(Rab GTPase binding);GO:0034066(RIC1-RGP1 guanyl-nucleotide exchange factor complex);GO:0042147(retrograde transport, endosome to Golgi);GO:0043547(positive regulation of GTPase activity)",NA
NC_051382.1,4810380,4812150,1771,-,1.49,1.02,0.47,0.01,0.07,exonic,XM_004924517.4,101742532,NC_051382.1,4807037,4822862,LOC101742532,F-box only protein 11 isoform X2 [Bombyx mori],GO:0000151(ubiquitin ligase complex);GO:0004842(ubiquitin-protein transferase activity);GO:0005737(cytoplasm);GO:0008270(zinc ion binding);GO:0016567(protein ubiquitination);GO:0019005(SCF ubiquitin ligase complex);GO:0030431(sleep);GO:0031146(SCF-dependent proteasomal ubiquitin-dependent protein catabolic process);GO:0048471(perinuclear region of cytoplasm);GO:0060966(regulation of gene silencing by RNA);GO:0070923(siRNA loading onto RISC involved in chromatin silencing by small RNA),NA
NC_051382.1,4820204,4822854,2651,-,1.30,2.35,-1.06,0.00,0.01,UTR5,XM_004924517.4,101742532,NC_051382.1,4807037,4822862,LOC101742532,F-box only protein 11 isoform X2 [Bombyx mori],GO:0000151(ubiquitin ligase complex);GO:0004842(ubiquitin-protein transferase activity);GO:0005737(cytoplasm);GO:0008270(zinc ion binding);GO:0016567(protein ubiquitination);GO:0019005(SCF ubiquitin ligase complex);GO:0030431(sleep);GO:0031146(SCF-dependent proteasomal ubiquitin-dependent protein catabolic process);GO:0048471(perinuclear region of cytoplasm);GO:0060966(regulation of gene silencing by RNA);GO:0070923(siRNA loading onto RISC involved in chromatin silencing by small RNA),NA
NC_051382.1,4883413,4884156,744,-,-0.21,2.00,-2.21,0.03,0.15,exonic,XM_038020222.1,105841398,NC_051382.1,4870668,5248686,LOC105841398,uncharacterized protein LOC114243892 [Bombyx mandarina],GO:0000118(histone deacetylase complex);GO:0003700(DNA binding transcription factor activity);GO:0005667(transcription factor complex);GO:0006357(regulation of transcription by RNA polymerase II);GO:0008134(transcription factor binding);GO:0044212(transcription regulatory region DNA binding),NA
NC_051382.1,4915934,5248686,332753,-,3.80,4.34,-0.55,0.02,0.10,UTR5,XM_038020222.1,105841398,NC_051382.1,4870668,5248686,LOC105841398,uncharacterized protein LOC114243892 [Bombyx mandarina],GO:0000118(histone deacetylase complex);GO:0003700(DNA binding transcription factor activity);GO:0005667(transcription factor complex);GO:0006357(regulation of transcription by RNA polymerase II);GO:0008134(transcription factor binding);GO:0044212(transcription regulatory region DNA binding),NA
NC_051382.1,5208231,5209076,846,-,2.92,8.10,-5.18,0.02,0.11,UTR3,XM_038020225.1,119630540,NC_051382.1,5206257,5209789,LOC119630540,hypothetical protein evm_004023 [Chilo suppressalis],NA,NA
NC_051382.1,5515570,5517372,1803,-,2.12,1.92,0.19,0.05,0.20,ncRNA_exonic,XR_005246304.1,119630555,NC_051382.1,5515346,5517643,LOC119630555,26S proteasome regulatory subunit 4 [Vanessa tameamea],"GO:0005524(ATP binding);GO:0005838(proteasome regulatory particle);GO:0006974(cellular response to DNA damage stimulus);GO:0008540(proteasome regulatory particle, base subcomplex);GO:0016887(ATPase activity);GO:0017025(TBP-class protein binding);GO:0030433(ubiquitin-dependent ERAD pathway);GO:0031595(nuclear proteasome complex);GO:0031597(cytosolic proteasome complex);GO:0036402(proteasome-activating ATPase activity);GO:0043161(proteasome-mediated ubiquitin-dependent protein catabolic process);GO:0045899(positive regulation of RNA polymerase II transcriptional preinitiation complex assembly)",NA
NC_051382.1,5530155,5530705,551,-,1.37,1.77,-0.40,0.00,0.00,UTR3,XM_004924503.4,101740316,NC_051382.1,5530156,5537797,LOC101740316,adipocyte plasma membrane-associated protein [Bombyx mandarina],"GO:0005783(endoplasmic reticulum);GO:0009058(biosynthetic process);GO:0009986(cell surface);GO:0012505(endomembrane system);GO:0016020(membrane);GO:0016788(hydrolase activity, acting on ester bonds);GO:0016844(strictosidine synthase activity)",NA
NC_051382.1,5530830,5532105,1276,-,3.81,3.45,0.36,0.00,0.00,UTR3,XM_004924503.4,101740316,NC_051382.1,5530156,5537797,LOC101740316,adipocyte plasma membrane-associated protein [Bombyx mandarina],"GO:0005783(endoplasmic reticulum);GO:0009058(biosynthetic process);GO:0009986(cell surface);GO:0012505(endomembrane system);GO:0016020(membrane);GO:0016788(hydrolase activity, acting on ester bonds);GO:0016844(strictosidine synthase activity)",NA
NC_051382.1,5532647,5534004,1358,-,1.08,0.40,0.68,0.00,0.00,exonic,XM_004924503.4,101740316,NC_051382.1,5530156,5537797,LOC101740316,adipocyte plasma membrane-associated protein [Bombyx mandarina],"GO:0005783(endoplasmic reticulum);GO:0009058(biosynthetic process);GO:0009986(cell surface);GO:0012505(endomembrane system);GO:0016020(membrane);GO:0016788(hydrolase activity, acting on ester bonds);GO:0016844(strictosidine synthase activity)",NA
NC_051382.1,5534662,5537321,2660,-,1.26,0.83,0.44,0.00,0.01,exonic,XM_004924503.4,101740316,NC_051382.1,5530156,5537797,LOC101740316,adipocyte plasma membrane-associated protein [Bombyx mandarina],"GO:0005783(endoplasmic reticulum);GO:0009058(biosynthetic process);GO:0009986(cell surface);GO:0012505(endomembrane system);GO:0016020(membrane);GO:0016788(hydrolase activity, acting on ester bonds);GO:0016844(strictosidine synthase activity)",NA
NC_051382.1,5634837,5635237,401,-,1.17,6.92,-5.75,0.01,0.06,UTR3,XM_004924491.4,101738733,NC_051382.1,5634638,5649852,LOC101738733,uncharacterized protein LOC101738733 isoform X1 [Bombyx mori],NA,NA
NC_051382.1,5794197,5795389,1193,-,2.70,3.31,-0.61,0.00,0.00,UTR5,XM_004924484.3,101737904,NC_051382.1,5786906,5795513,LOC101737904,digestive organ expansion factor homolog isoform X2 [Bombyx mori],"GO:0000462(maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA));GO:0005730(nucleolus);GO:0019843(rRNA binding);GO:0032040(small-subunit processome);GO:0034511(U3 snoRNA binding)",NA
NC_051382.1,5925065,5930796,5732,-,1.99,1.77,0.22,0.03,0.14,UTR5,XM_004924532.4,101745223,NC_051382.1,5923591,5931047,LOC101745223,uncharacterized protein LOC101745223 isoform X2 [Bombyx mori],GO:0005737(cytoplasm);GO:0030276(clathrin binding);GO:0032588(trans-Golgi network membrane);GO:0035650(AP-1 adaptor complex binding);GO:0042051(compound eye photoreceptor development);GO:0046907(intracellular transport);GO:0048749(compound eye development),NA
NC_051382.1,5966519,5967069,551,-,1.26,1.76,-0.49,0.00,0.04,UTR5,XM_004924469.4,101735961,NC_051382.1,5963434,5967152,LOC101735961,lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),04142(Lysosome)
